symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi_14
QQQ,2025-09-02 08:00:00+00:00,565.6,569.69,565.44,565.87,21282.0,370.0,565.981233,
QQQ,2025-09-02 08:01:00+00:00,565.96,566.08,565.88,566.02,6192.0,151.0,565.974087,
QQQ,2025-09-02 08:02:00+00:00,566.06,566.36,566.06,566.35,5271.0,162.0,566.168301,
QQQ,2025-09-02 08:03:00+00:00,566.26,566.6,566.26,566.57,4876.0,302.0,566.51296,
QQQ,2025-09-02 08:04:00+00:00,566.61,566.66,566.52,566.66,3991.0,146.0,566.584773,
QQQ,2025-09-02 08:05:00+00:00,566.45,566.45,566.17,566.17,5478.0,184.0,566.21482,
QQQ,2025-09-02 08:06:00+00:00,566.34,566.5,566.27,566.45,3701.0,140.0,566.379087,
QQQ,2025-09-02 08:07:00+00:00,566.47,566.52,566.29,566.29,5388.0,98.0,566.417835,
QQQ,2025-09-02 08:08:00+00:00,566.3,566.33,566.18,566.21,3096.0,86.0,566.276034,
QQQ,2025-09-02 08:09:00+00:00,566.27,566.34,566.21,566.34,3048.0,80.0,566.29906,
QQQ,2025-09-02 08:10:00+00:00,566.4,566.42,566.36,566.36,9007.0,141.0,566.400179,
QQQ,2025-09-02 08:11:00+00:00,566.39,566.43,566.37,566.43,4363.0,76.0,566.421227,
QQQ,2025-09-02 08:12:00+00:00,566.53,566.53,566.09,566.15,7051.0,143.0,566.309067,
QQQ,2025-09-02 08:13:00+00:00,566.1,566.11,565.8,565.96,5198.0,128.0,565.993919,
QQQ,2025-09-02 08:14:00+00:00,565.95,565.95,565.87,565.87,1252.0,43.0,565.896667,50.0
QQQ,2025-09-02 08:15:00+00:00,565.93,566.35,565.93,566.35,2055.0,47.0,566.062147,55.67010309278427
QQQ,2025-09-02 08:16:00+00:00,566.44,566.6,566.42,566.6,1459.0,39.0,566.525714,54.416961130742166
QQQ,2025-09-02 08:17:00+00:00,566.66,566.66,566.45,566.45,3398.0,79.0,566.561786,47.82608695652156
QQQ,2025-09-02 08:18:00+00:00,566.32,566.5,566.32,566.5,1333.0,39.0,566.4075,47.05882352941226
QQQ,2025-09-02 08:19:00+00:00,566.38,566.59,566.38,566.59,1519.0,38.0,566.4825,59.05172413793285
QQQ,2025-09-02 08:20:00+00:00,566.54,566.62,566.53,566.62,1540.0,32.0,566.545529,54.10628019323608
QQQ,2025-09-02 08:21:00+00:00,566.67,566.78,566.62,566.69,1078.0,30.0,566.686,60.101010101013465
QQQ,2025-09-02 08:22:00+00:00,566.69,566.71,566.69,566.7,1001.0,25.0,566.695714,62.827225130891264
QQQ,2025-09-02 08:23:00+00:00,566.75,566.76,566.66,566.74,2464.0,38.0,566.704737,60.98901098901144
QQQ,2025-09-02 08:24:00+00:00,566.7,566.75,566.69,566.75,1227.0,52.0,566.706,60.77348066298405
QQQ,2025-09-02 08:25:00+00:00,566.53,566.53,566.48,566.48,788.0,30.0,566.505,51.24378109452913
QQQ,2025-09-02 08:26:00+00:00,566.45,566.47,566.4,566.47,2237.0,57.0,566.429466,59.195402298852564
QQQ,2025-09-02 08:28:00+00:00,566.43,566.45,566.43,566.45,824.0,23.0,566.44,65.60509554140219
QQQ,2025-09-02 08:29:00+00:00,566.44,566.44,566.41,566.41,876.0,15.0,566.421538,67.76315789473585
QQQ,2025-09-02 08:30:00+00:00,566.4,566.48,566.4,566.48,765.0,21.0,566.42,55.85585585585558
QQQ,2025-09-02 08:31:00+00:00,566.4,566.41,566.39,566.39,2570.0,49.0,566.395161,38.947368421051245
QQQ,2025-09-02 08:32:00+00:00,566.29,566.38,566.29,566.29,2687.0,46.0,566.324688,41.11111111110746
QQQ,2025-09-02 08:33:00+00:00,566.33,566.34,566.25,566.29,1988.0,33.0,566.280108,37.64705882352925
QQQ,2025-09-02 08:34:00+00:00,566.23,566.23,566.22,566.22,1061.0,35.0,566.225,27.710843373494797
QQQ,2025-09-02 08:35:00+00:00,566.24,566.45,566.23,566.45,4052.0,76.0,566.325993,41.74757281553666
QQQ,2025-09-02 08:36:00+00:00,566.54,566.6,566.54,566.55,2209.0,50.0,566.582336,43.39622641508928
QQQ,2025-09-02 08:37:00+00:00,566.51,566.59,566.5,566.59,3693.0,43.0,566.577498,44.954128440366496
QQQ,2025-09-02 08:38:00+00:00,566.5,566.53,566.5,566.53,381.0,14.0,566.515,40.540540540539986
QQQ,2025-09-02 08:39:00+00:00,566.52,566.54,566.52,566.54,1052.0,22.0,566.53,40.540540540539986
QQQ,2025-09-02 08:40:00+00:00,566.55,566.71,566.55,566.71,1173.0,32.0,566.64,61.386138613859835
QQQ,2025-09-02 08:41:00+00:00,566.75,566.81,566.75,566.8,3350.0,58.0,566.770915,65.13761467889373
QQQ,2025-09-02 08:42:00+00:00,566.86,566.86,566.84,566.84,2219.0,41.0,566.846383,67.56756756756315
QQQ,2025-09-02 08:43:00+00:00,566.84,566.98,566.84,566.91,3648.0,75.0,566.936832,71.92982456140159
QQQ,2025-09-02 08:44:00+00:00,566.86,566.89,566.84,566.89,1824.0,35.0,566.867778,68.80733944953928
QQQ,2025-09-02 08:45:00+00:00,566.88,566.92,566.88,566.92,2636.0,45.0,566.899223,75.72815533980518
QQQ,2025-09-02 08:46:00+00:00,566.87,566.9,566.8,566.9,2299.0,50.0,566.852113,82.10526315789775
QQQ,2025-09-02 08:47:00+00:00,566.88,566.88,566.88,566.88,785.0,26.0,566.88,80.41237113402497
QQQ,2025-09-02 08:48:00+00:00,566.8,566.8,566.71,566.71,2200.0,37.0,566.777052,72.89719626168403
QQQ,2025-09-02 08:49:00+00:00,566.74,566.74,566.72,566.72,1093.0,21.0,566.73,65.8823529411771
QQQ,2025-09-02 08:50:00+00:00,566.69,566.69,566.69,566.69,543.0,27.0,566.69,58.9743589743657
QQQ,2025-09-02 08:51:00+00:00,566.66,566.66,566.48,566.48,3003.0,93.0,566.601,44.210526315788336
QQQ,2025-09-02 08:52:00+00:00,566.48,566.48,566.37,566.37,2708.0,66.0,566.431111,42.00000000000068
QQQ,2025-09-02 08:53:00+00:00,566.42,566.45,566.4,566.4,2545.0,37.0,566.423031,43.13725490196057
QQQ,2025-09-02 08:54:00+00:00,566.49,566.54,566.49,566.54,1319.0,27.0,566.523939,41.41414141413585
QQQ,2025-09-02 08:55:00+00:00,566.53,566.53,566.51,566.51,926.0,24.0,566.517143,34.40860215053684
QQQ,2025-09-02 08:56:00+00:00,566.45,566.49,566.42,566.49,1280.0,29.0,566.467143,30.769230769224038
QQQ,2025-09-02 08:57:00+00:00,566.62,566.62,566.47,566.47,1819.0,45.0,566.507273,24.418604651159868
QQQ,2025-09-02 08:58:00+00:00,566.4,566.4,566.37,566.37,1263.0,35.0,566.38,22.340425531910768
QQQ,2025-09-02 08:59:00+00:00,566.37,566.4,566.37,566.4,247.0,4.0,566.385,22.340425531910768
QQQ,2025-09-02 09:00:00+00:00,566.44,566.44,566.27,566.27,4436.0,99.0,566.354792,19.999999999995666
QQQ,2025-09-02 09:01:00+00:00,566.23,566.29,566.23,566.29,16836.0,101.0,566.259793,21.90476190475613
QQQ,2025-09-02 09:02:00+00:00,566.42,566.42,566.42,566.42,473.0,16.0,566.42,35.64356435643006
QQQ,2025-09-02 09:04:00+00:00,566.57,566.63,566.57,566.63,1099.0,31.0,566.606,46.280991735535636
QQQ,2025-09-02 09:05:00+00:00,566.58,566.66,566.58,566.61,2926.0,81.0,566.64,46.666666666664774
QQQ,2025-09-02 09:06:00+00:00,566.59,566.62,566.59,566.62,2991.0,86.0,566.611111,57.00000000000011
QQQ,2025-09-02 09:07:00+00:00,566.6,566.6,566.51,566.51,2448.0,59.0,566.528,57.00000000000011
QQQ,2025-09-02 09:08:00+00:00,566.56,566.56,566.45,566.45,2099.0,52.0,566.505,52.427184466023064
QQQ,2025-09-02 09:09:00+00:00,566.43,566.46,566.43,566.46,641.0,29.0,566.445,45.55555555555892
QQQ,2025-09-02 09:10:00+00:00,566.33,566.38,566.33,566.37,3286.0,43.0,566.368265,42.70833333333346
QQQ,2025-09-02 09:11:00+00:00,566.33,566.35,566.33,566.35,1073.0,24.0,566.342,42.70833333333346
QQQ,2025-09-02 09:12:00+00:00,566.41,566.47,566.41,566.47,926.0,33.0,566.44,50.0
QQQ,2025-09-02 09:14:00+00:00,566.4,566.42,566.4,566.42,507.0,14.0,566.413827,52.475247524750245
QQQ,2025-09-02 09:15:00+00:00,566.57,566.58,566.57,566.58,1370.0,40.0,566.572,57.894736842107356
QQQ,2025-09-02 09:16:00+00:00,566.6,566.6,566.6,566.6,1089.0,24.0,566.6,66.0194174757288
QQQ,2025-09-02 09:17:00+00:00,566.62,566.64,566.59,566.64,2219.0,37.0,566.617769,66.66666666666666
QQQ,2025-09-02 09:18:00+00:00,566.62,566.62,566.62,566.62,985.0,28.0,566.62,60.63829787234223
QQQ,2025-09-02 09:19:00+00:00,566.8,566.8,566.77,566.77,2489.0,28.0,566.78383,57.95454545454472
QQQ,2025-09-02 09:20:00+00:00,566.8,566.89,566.8,566.89,2481.0,51.0,566.834121,64.28571428571263
QQQ,2025-09-02 09:21:00+00:00,566.81,566.81,566.79,566.79,641.0,29.0,566.7975,57.943925233642574
QQQ,2025-09-02 09:22:00+00:00,566.75,566.76,566.75,566.76,913.0,30.0,566.755714,62.62626262626251
QQQ,2025-09-02 09:23:00+00:00,566.61,566.65,566.6,566.65,2308.0,50.0,566.623636,59.61538461538062
QQQ,2025-09-02 09:24:00+00:00,566.6,566.6,566.6,566.6,1029.0,16.0,566.6,56.4814814814806
QQQ,2025-09-02 09:25:00+00:00,566.61,566.75,566.61,566.74,4058.0,51.0,566.694868,66.37168141592946
QQQ,2025-09-02 09:26:00+00:00,566.77,566.77,566.74,566.74,1472.0,25.0,566.742308,67.56756756756674
QQQ,2025-09-02 09:27:00+00:00,566.66,566.66,566.65,566.65,875.0,21.0,566.654,58.3333333333307
QQQ,2025-09-02 09:28:00+00:00,566.68,566.68,566.62,566.64,2537.0,51.0,566.641763,60.57692307692476
QQQ,2025-09-02 09:29:00+00:00,566.74,566.77,566.74,566.76,1583.0,26.0,566.757692,58.99999999999853
QQQ,2025-09-02 09:30:00+00:00,566.81,566.83,566.81,566.83,839.0,16.0,566.823333,60.9523809523823
QQQ,2025-09-02 09:31:00+00:00,566.8,566.82,566.8,566.82,1016.0,18.0,566.812,58.82352941176798
QQQ,2025-09-02 09:32:00+00:00,566.79,566.79,566.65,566.65,3248.0,54.0,566.757591,51.282051282050034
QQQ,2025-09-02 09:33:00+00:00,566.66,566.69,566.57,566.57,1822.0,49.0,566.638333,40.9090909090942
QQQ,2025-09-02 09:34:00+00:00,566.58,566.62,566.58,566.62,865.0,12.0,566.603649,36.89320388349568
QQQ,2025-09-02 09:35:00+00:00,566.74,566.86,566.74,566.86,1924.0,50.0,566.81625,52.99145299145523
QQQ,2025-09-02 09:36:00+00:00,566.87,566.87,566.87,566.87,862.0,20.0,566.87,54.782608695652854
QQQ,2025-09-02 09:37:00+00:00,566.78,566.78,566.75,566.75,3263.0,77.0,566.765032,54.31034482758731
