message_id,date,text,media
29490,2025-11-12 15:10:02+00:00,"Vendo NVDA en 193,81$ justo en la MA200 en 1min asegurando un profit de casi un +0,5%",
29352,2025-11-07 15:11:55+00:00,"Vendo NVDA en 183,42$",
29288,2025-11-06 15:26:44+00:00,"Vendo NVDA en 193,43$, prefiero asegurar viendo además el Nasdaq en zona de EMA45 en 1min que puede usar como resistencia",
28985,2025-10-30 13:47:16+00:00,Vendo NVDA en 203.32$ asegurando mas de un 0.7% de profit,
28708,2025-10-21 14:50:26+00:00,"Vendo NVDA en 180,81$ asegurando un 0.4% por encima de la EMA45 en 1min",
28697,2025-10-21 14:22:06+00:00,Vendo NVDA en breakeven justo en esa zona de la EMA45 en 1min,
28511,2025-10-15 13:47:54+00:00,Vendo NVDA en zona de breakeven,
28011,2025-10-01 14:05:30+00:00,Vendo NVDA en 184.90$ justo en la EMA45 en 1min,
27849,2025-09-26 14:41:41+00:00,"Vendo NVDA en 176,46$ asegurando un 0.7% de profit",
27688,2025-09-22 13:53:06+00:00,"Vendo NVDA en 175,95$ justo en la zona de medias",
27562,2025-09-16 14:10:19+00:00,Vendo NVDA en 176.55$ en la EMA45 en 1min,
27528,2025-09-15 14:27:57+00:00,"Vendo NVDA en 175,60$ justo en la zona de la EMA45",
27239,2025-09-05 14:39:15+00:00,"Vendo NVDA en 165,53$",
27206,2025-09-05 14:13:04+00:00,"Vendo NVDA en 166.40$, justo en esa zona objetivo de antiguos mínimos de día para asegurar casi +0.5% de profit",
27082,2025-09-03 13:41:45+00:00,Vendo NVDA en 170.45$ en la EMA45 en 1min,
27049,2025-09-02 15:01:51+00:00,Vendo NVDA en 169.75$ justo en la EMA45 en 1min asegurando +0.5%,
26989,2025-08-29 14:15:10+00:00,"Vendo NVDA en 174,91$ asegurando un +0.5%",
26969,2025-08-29 13:56:24+00:00,Vendo NVDA en zona de breakeven. Prefiero no correr más riesgo hoy viernes y último día de mercado del mes,
26922,2025-08-28 14:04:39+00:00,"Vendo NVDA en 178,13$ asegurando +0,7% de profit",
26905,2025-08-28 13:41:05+00:00,"Vendo NVDA en 181,38$ asegurando en la EMA45 en 1min",
26868,2025-08-27 14:05:45+00:00,Vendo NVDA en 180.41$ asegurando antes de llegar a la zona de la EMA45 en 1min,
26817,2025-08-26 13:56:19+00:00,"Vendo NVDA en 179,93$ justo en la EMA45 en 1min y en la zona de 180$",
26636,2025-08-20 14:16:24+00:00,Vendo NVDA en 170.13$ justo testeando esa zona que está usando de resistencia,
26546,2025-08-19 13:58:44+00:00,Vendo NVDA en la antigua zona de soporte que ahora podría utilizar de resistencia en 180.86$ asegurando un +0.6% de profit,
26526,2025-08-19 13:40:06+00:00,Vendo NVDA en 181.65$ asegurando un profit de casi +0.4% después de ver el rechazo en la MA200 en 1min,
