message_id,date,text,media
35620,2026-05-18 14:32:10+00:00,"Compro NVDA en 222,59$",
35537,2026-05-15 13:36:45+00:00,"Compro NVDA en 227,12$",
35440,2026-05-12 14:52:23+00:00,Compro NVDA en 217.67$ buscando un soporte en zona de mínimos de día y un testeo de medias,
35178,2026-05-04 13:58:51+00:00,"Compro NVDA en 197,89$ buscando un doble suelo en mínimos y un testeo de medias",
35094,2026-04-30 14:31:35+00:00,"Compro NVDA en 200,16$ buscando un doble suelo en los 200$ y un testeo de la media",
35080,2026-04-30 14:07:33+00:00,"Compro NVDA en 202,85$",
35050,2026-04-30 13:42:57+00:00,"Compro NVDA en 205,97$",
34983,2026-04-29 13:47:57+00:00,Compro NVDA en 210.52$ buscando un doble suelo en esta zona de mínimos de día,
34955,2026-04-28 14:52:50+00:00,Compro NVDA en 208.59$ buscando un doble suelo en esta zona,
34942,2026-04-28 14:42:40+00:00,Compro NVDA en 210.15$,
34898,2026-04-27 14:34:52+00:00,"Compro NVDA en 207,77$",
34871,2026-04-27 13:48:09+00:00,"Compro NVDA en 209,34$",
34141,2026-04-02 13:41:54+00:00,"Compro NVDA en 171,62$",
34040,2026-03-30 14:00:29+00:00,Compro NVDA en 166.37$ buscando una reversión,
34018,2026-03-30 13:43:00+00:00,Compro NVDA en 167.06$ buscando ese soporte en mínimos del viernes,
33943,2026-03-26 14:57:13+00:00,Compro NVDA en 173.35$,
33921,2026-03-26 13:43:25+00:00,"Compro NVDA en 175,27$ buscando un soporte en esta zona ya comentada previamente",
33552,2026-03-12 14:35:47+00:00,Compro NVDA en 182.12$,
33317,2026-03-05 15:33:05+00:00,"Compro NVDA en 181,02$ buscando un soporte en esos mínimos de día",
33231,2026-03-03 15:24:46+00:00,"Compro NVDA en 178,06$ buscando un doble suelo en mínimos de día",
33090,2026-02-26 15:20:01+00:00,"Compro NVDA en 186,15$",
33068,2026-02-26 14:50:04+00:00,"Compro NVDA en 188,67$",
33059,2026-02-26 14:38:04+00:00,"Compro NVDA en 189,93$",
32965,2026-02-24 14:38:02+00:00,Compro NVDA en 187.86$,
32665,2026-02-13 15:01:03+00:00,"Compro NVDA en 182,55$ buscando un doble suelo",
32653,2026-02-13 14:43:05+00:00,"Compro NVDA en 182,76$",
32483,2026-02-10 15:06:54+00:00,Compro NVDA en 188.71$ buscando un doble suelo en esa zona,
32467,2026-02-10 14:43:55+00:00,"Compro NVDA en 189,37$ buscando ese soporte comentado",
32285,2026-02-04 15:38:50+00:00,"Compro NVDA en 175,82$",
32266,2026-02-04 15:05:22+00:00,"Compro NVDA en 176,95$",
32213,2026-02-03 15:03:49+00:00,"Compro NVDA en 181,28$",
32186,2026-02-03 14:36:52+00:00,"Compro NVDA en 183,88$",
31657,2026-01-20 14:42:39+00:00,Compro NVDA en 179.99$,
31564,2026-01-16 15:03:22+00:00,"Compro NVDA en 188,57$ buscando un soporte en la MA200 en 1min junto a un cierre de GAP en Nasdaq",
31292,2026-01-08 15:03:50+00:00,"Compro NVDA en 184,98$",
31277,2026-01-08 14:46:18+00:00,"Compro NVDA en 186,97$",
30746,2025-12-18 14:44:00+00:00,"Compro NVDA en 172,14$",
30707,2025-12-17 16:02:54+00:00,Compro NVDA en 171.21$,
30676,2025-12-17 14:38:59+00:00,Compro NVDA en 173.95$,
30540,2025-12-12 14:50:44+00:00,"Compro NVDA en 180,49$",
30468,2025-12-11 14:35:59+00:00,Compro NVDA en 178.46$,
30367,2025-12-09 14:34:08+00:00,"Compro NVDA en 183,78$ buscando un soporte de ayer y un testeo de medias",
30264,2025-12-05 14:45:19+00:00,Compro NVDA en 181.29$,
30234,2025-12-04 15:03:49+00:00,"Compro NVDA en 180,78$",
30044,2025-11-28 15:33:23+00:00,"Compro NVDA en 177,08$ buscando un soporte en mínimos de día",
30029,2025-11-28 14:42:04+00:00,"Compro NVDA en 177,18$",
29981,2025-11-26 15:00:56+00:00,Compro NVDA en 178.45$,
29922,2025-11-25 15:05:49+00:00,Compro NVDA en 170.08$,
29912,2025-11-25 14:50:56+00:00,Compro NVDA en 170.68$,
29898,2025-11-25 14:34:49+00:00,Compro NVDA en 173.22$,
29872,2025-11-24 14:52:03+00:00,Compro NVDA en 176.91$ buscando un testeo de los anteriores mínimos de día,
29860,2025-11-24 14:42:07+00:00,Compro NVDA en 178.57$,
29822,2025-11-21 15:42:36+00:00,"Compro NVDA en 173,62$",
29779,2025-11-20 16:24:32+00:00,"Compro NVDA en 188,98$",
29712,2025-11-18 15:05:44+00:00,"Compro NVDA en 180,01$",
29537,2025-11-13 14:38:00+00:00,Compro NVDA en 188.53$,
29475,2025-11-12 14:43:35+00:00,"Compro NVDA en 192,91$",
29432,2025-11-11 15:09:05+00:00,"Compro NVDA en 192,53$",
29350,2025-11-07 15:08:42+00:00,"Compro NVDA en 182,17$ buscando ese doble suelo",
29276,2025-11-06 15:05:11+00:00,"Compro NVDA en 192,40$ buscando una reversión",
29261,2025-11-06 14:46:13+00:00,"Compro NVDA en 195,42$ buscando el doble suelo en mínimos de día y soporte en 195$",
