message_id,date,text,media
29575,2025-11-13 15:24:46+00:00,Compro TSLA en 410.01$,
29562,2025-11-13 15:06:57+00:00,Compro TSLA en 411.69$,
29550,2025-11-13 14:51:04+00:00,Compro TSLA en 417.91$ buscando ese testeo de resistencia,
29496,2025-11-12 15:17:05+00:00,"Compro TSLA en 431,65$",
29444,2025-11-11 15:37:00+00:00,"Compro TSLA en 434,44$",
29425,2025-11-11 14:53:34+00:00,"Compro TSLA en 437,35$",
29392,2025-11-10 14:40:09+00:00,Compro TSLA en 434.21$,
29326,2025-11-07 14:48:21+00:00,"Compro TSLA en 425,78$ buscando un doble suelo en mínimos de día",
29318,2025-11-07 14:40:49+00:00,"Compro TSLA en 425,54$",
29295,2025-11-06 15:43:01+00:00,Compro TSLA en 447.88$,
29268,2025-11-06 14:59:05+00:00,"Compro TSLA en 458,25$",
29212,2025-11-05 14:43:55+00:00,Compro TSLA en 444.52$ buscando ese soporte en 444$ y el cierre del GAP de la apertura,
29201,2025-11-05 14:38:31+00:00,Compro TSLA en 446.01$,
29143,2025-11-04 14:36:55+00:00,Compro TSLA en 448.73$,
29007,2025-10-30 14:18:55+00:00,Compro TSLA en 445.73$,
28995,2025-10-30 14:05:54+00:00,Compro TSLA en 448.93$,
28902,2025-10-28 13:56:01+00:00,Compro TSLA en 456.02$,
28821,2025-10-24 13:42:47+00:00,Compro TSLA en 441.57$,
28794,2025-10-23 13:37:08+00:00,Compro TSLA en 414.52$,
28763,2025-10-22 14:33:17+00:00,Compro TSLA en 432.91$,
28752,2025-10-22 14:16:29+00:00,Compro TSLA en 438.76$,
28450,2025-10-14 13:38:58+00:00,Compro TSLA en 420.13$,
28313,2025-10-09 14:46:10+00:00,Compro TSLA en 426.89$,
28305,2025-10-09 14:39:44+00:00,Compro TSLA en 428.55$ buscando un doble suelo en mínimos de día,
28244,2025-10-08 13:37:50+00:00,"Compro TSLA en 425.9$, buscamos un testeo de la zona de 430$",
28209,2025-10-07 15:08:13+00:00,Compro TSLA en 442.52$ buscando un doble suelo en mínimos de día,
28107,2025-10-03 14:14:24+00:00,"Compro TSLA en 430,26$",
28099,2025-10-03 13:59:43+00:00,"Compro TSLA en 436,69$",
28064,2025-10-02 15:06:03+00:00,"Compro TSLA en 450,08$",
28045,2025-10-02 13:45:48+00:00,"Compro TSLA en 455,65$",
27930,2025-09-30 13:39:47+00:00,Compro TSLA en 437.19$,
27837,2025-09-26 13:47:08+00:00,"Compro TSLA en 425,8$ buscando el soporte en la MA200 en 1min",
27779,2025-09-25 13:35:42+00:00,"Compro TSLA en 427,03$",
27725,2025-09-23 14:27:32+00:00,"Compro TSLA en 431,61$",
27548,2025-09-16 13:41:56+00:00,Compro TSLA en 412.11$,
27397,2025-09-10 13:46:36+00:00,"Compro TSLA en 346,92$",
27361,2025-09-09 14:38:54+00:00,"Compro TSLA en 344,54$",
27348,2025-09-09 14:05:42+00:00,"Compro TSLA en 346,14$",
27300,2025-09-08 14:16:52+00:00,Compro TSLA en 351.01$ buscando ese doble suelo y soporte en la MA200,
27282,2025-09-08 13:46:38+00:00,Compro TSLA en 351.37$,
27218,2025-09-05 14:20:40+00:00,Compro TSLA en 346.67$ buscando ese testeo,
27144,2025-09-04 14:08:01+00:00,Compro TSLA en 332.19$,
27087,2025-09-03 13:44:52+00:00,Compro TSLA en 329.56$,
26975,2025-08-29 14:00:40+00:00,"Compro TSLA en 343,47$",
26796,2025-08-26 13:41:57+00:00,"Compro TSLA en 345,23$",
26684,2025-08-21 14:00:55+00:00,Compro TSLA en 319.92$,
26641,2025-08-20 14:47:51+00:00,Compro TSLA en 315.28$ viendo una divergencia entre RSI y precio. Parte baja de una cuña bajista además.,
26620,2025-08-20 13:55:47+00:00,Compro TSLA en 319.96$,
26577,2025-08-19 14:46:12+00:00,Compro TSLA en 332.59$,
26432,2025-08-15 13:52:54+00:00,"Compro TSLA en 332,52$",
26320,2025-08-12 14:12:57+00:00,Compro TSLA en 333.77$,
26309,2025-08-12 14:05:27+00:00,"Compro TSLA en 334,74$",
26097,2025-08-05 14:50:20+00:00,"Compro TSLA en 305,89$ buscando un doble suelo en mínimos de día",
26043,2025-08-04 14:58:13+00:00,Compro TSLA en 303.55$,
26035,2025-08-04 14:48:14+00:00,Compro TSLA en 305.27$,
25983,2025-08-01 14:04:01+00:00,"Compro TSLA en 298,22$",
25974,2025-08-01 13:46:03+00:00,"Compro TSLA en 302,26$",
25938,2025-07-31 14:53:02+00:00,"Compro TSLA en 313,81$",
25893,2025-07-30 15:16:21+00:00,"Compro TSLA en 317,13$",
25829,2025-07-29 13:53:10+00:00,"Compro TSLA en 320,11$",
25683,2025-07-24 13:34:11+00:00,"Compro TSLA en 301,72$",
25532,2025-07-21 14:06:21+00:00,"Compro TSLA en 329,76$",
25523,2025-07-21 13:47:59+00:00,"Compro TSLA en 329,82$ buscando un soporte en esa zona del GAP",
25389,2025-07-15 15:00:05+00:00,Compro TSLA en 313.21$,
25379,2025-07-15 14:33:46+00:00,Compro TSLA en 316.27$,
25336,2025-07-14 14:14:01+00:00,Compro TSLA en 314.16$,
25316,2025-07-14 13:45:14+00:00,Compro TSLA en 315.63$ buscando un soporte en la EMA45 en 1min,
25266,2025-07-11 13:43:23+00:00,"Compro TSLA en 306,38$",
25203,2025-07-09 15:01:00+00:00,"Compro TSLA en 293,83$ buscando un doble suelo en mínimos de día",
25194,2025-07-09 14:33:08+00:00,Compro TSLA en 294.16$,
25128,2025-07-07 13:58:26+00:00,Compro TSLA en 289.22$,
25117,2025-07-07 13:35:03+00:00,"Compro TSLA en 290,12$",
25066,2025-07-03 14:35:29+00:00,"Compro TSLA en 313,02$ buscando un doble suelo en mínimos de día",
25007,2025-07-01 14:55:08+00:00,Compro TSLA en 297.77$,
24841,2025-06-25 14:17:00+00:00,Compro TSLA en 322.32$,
24835,2025-06-25 14:08:08+00:00,Compro TSLA en 327.27$,
