msg,timestamp,symbol,direction,price
26247,2025-08-11 13:35:31,NVDA,BUY,180.41
26253,2025-08-11 13:45:44,NVDA,SELL,182.72
26299,2025-08-12 13:52:45,NVDA,BUY,180.63
26305,2025-08-12 13:56:54,NVDA,SELL,181.36
26309,2025-08-12 14:05:27,TSLA,BUY,334.74
26315,2025-08-12 14:10:54,NVDA,SELL,335.46
26320,2025-08-12 14:12:57,TSLA,BUY,333.77
26331,2025-08-12 14:18:56,TSLA,SELL,335.47
26366,2025-08-13 14:17:02,NVDA,BUY,181.13
26369,2025-08-13 14:23:05,NVDA,SELL,182.02
26428,2025-08-15 13:40:18,NVDA,BUY,180.33
26432,2025-08-15 13:52:54,TSLA,BUY,332.52
26440,2025-08-15 14:06:03,TSLA,SELL,334.21
26486,2025-08-18 14:59:29,NVDA,BUY,181.03
26522,2025-08-19 13:37:04,NVDA,BUY,180.93
26526,2025-08-19 13:40:06,NVDA,SELL,181.65
26539,2025-08-19 13:49:16,NVDA,BUY,179.8
26546,2025-08-19 13:58:44,NVDA,SELL,180.86
26563,2025-08-19 14:32:31,NVDA,BUY,178.43
26577,2025-08-19 14:46:12,TSLA,BUY,332.59
26587,2025-08-19 14:56:24,TSLA,SELL,334.43
26612,2025-08-20 13:42:39,NVDA,BUY,173.52
26620,2025-08-20 13:55:47,TSLA,BUY,319.96
26625,2025-08-20 14:05:00,TSLA,SELL,322.48
26630,2025-08-20 14:10:11,NVDA,BUY,169.03
26636,2025-08-20 14:16:24,NVDA,SELL,170.13
26641,2025-08-20 14:47:51,TSLA,BUY,315.28
26649,2025-08-20 14:55:14,TSLA,SELL,316.8
26684,2025-08-21 14:00:55,TSLA,BUY,319.92
26689,2025-08-21 14:05:56,TSLA,SELL,323.18
26796,2025-08-26 13:41:57,TSLA,BUY,345.23
26802,2025-08-26 13:43:32,TSLA,SELL,347.54
26808,2025-08-26 13:48:10,NVDA,BUY,178.91
26817,2025-08-26 13:56:19,NVDA,SELL,179.93
26853,2025-08-27 13:48:03,NVDA,BUY,179.51
26868,2025-08-27 14:05:45,NVDA,SELL,180.41
26902,2025-08-28 13:37:57,NVDA,BUY,179.87
26905,2025-08-28 13:41:05,NVDA,SELL,181.38
26918,2025-08-28 14:00:01,NVDA,BUY,176.87
26922,2025-08-28 14:04:39,NVDA,SELL,178.13
26954,2025-08-29 13:41:57,NVDA,BUY,174.77
26969,2025-08-29 13:56:24,NVDA,SELL,NULL
26975,2025-08-29 14:00:40,TSLA,BUY,343.47
26982,2025-08-29 14:08:22,NVDA,BUY,174.07
26989,2025-08-29 14:15:10,NVDA,SELL,174.91
27043,2025-09-02 14:52:06,NVDA,BUY,168.94
27049,2025-09-02 15:01:51,NVDA,SELL,169.75
27077,2025-09-03 13:39:16,NVDA,BUY,169.58
27082,2025-09-03 13:41:45,NVDA,SELL,170.45
27087,2025-09-03 13:44:52,TSLA,BUY,329.56
27096,2025-09-03 13:58:01,TSLA,SELL,330.76
27144,2025-09-04 14:08:01,TSLA,BUY,332.19
27200,2025-09-05 14:09:22,NVDA,BUY,165.65
27206,2025-09-05 14:13:04,NVDA,SELL,166.4
27218,2025-09-05 14:20:40,TSLA,BUY,346.67
27227,2025-09-05 14:27:54,NVDA,BUY,164.72
27239,2025-09-05 14:39:15,NVDA,SELL,165.53
27282,2025-09-08 13:46:38,TSLA,BUY,351.37
27293,2025-09-08 13:56:55,TSLA,SELL,354.9
27300,2025-09-08 14:16:52,TSLA,BUY,351.01
27308,2025-09-08 14:31:02,TSLA,SELL,352.42
27348,2025-09-09 14:05:42,TSLA,BUY,346.14
27361,2025-09-09 14:38:54,TSLA,BUY,344.54
27372,2025-09-09 15:03:51,TSLA,SELL,346.01
27397,2025-09-10 13:46:36,TSLA,BUY,346.92
27409,2025-09-10 13:58:43,TSLA,SELL,349.03
27444,2025-09-11 13:45:27,NVDA,BUY,177.73
27524,2025-09-15 14:14:08,NVDA,BUY,174.71
27528,2025-09-15 14:27:57,NVDA,SELL,175.6
27548,2025-09-16 13:41:56,TSLA,BUY,412.11
27554,2025-09-16 13:47:59,TSLA,SELL,415.52
27558,2025-09-16 13:58:36,NVDA,BUY,175.89
27562,2025-09-16 14:10:19,NVDA,SELL,176.55
27684,2025-09-22 13:42:00,NVDA,BUY,174.88
27688,2025-09-22 13:53:06,NVDA,SELL,175.95
27716,2025-09-23 13:48:26,NVDA,BUY,179.98
27725,2025-09-23 14:27:32,TSLA,BUY,431.61
27728,2025-09-23 14:33:01,TSLA,SELL,434.71
27779,2025-09-25 13:35:42,TSLA,BUY,427.03
27798,2025-09-25 14:10:08,TSLA,SELL,429.83
27837,2025-09-26 13:47:08,TSLA,BUY,NULL
27847,2025-09-26 14:29:22,NVDA,BUY,175.25
27849,2025-09-26 14:41:41,NVDA,SELL,176.46
27930,2025-09-30 13:39:47,TSLA,BUY,437.19
27933,2025-09-30 13:43:07,TSLA,SELL,439.55
27995,2025-10-01 13:51:16,NVDA,BUY,184.12
28011,2025-10-01 14:05:30,NVDA,SELL,184.9
28045,2025-10-02 13:45:48,TSLA,BUY,455.65
28048,2025-10-02 13:48:33,TSLA,SELL,461.18
28064,2025-10-02 15:06:03,TSLA,BUY,450.08
28067,2025-10-02 15:11:27,TSLA,SELL,453.52
28099,2025-10-03 13:59:43,TSLA,BUY,436.69
28107,2025-10-03 14:14:24,TSLA,BUY,430.26
28209,2025-10-07 15:08:13,TSLA,BUY,442.52
28244,2025-10-08 13:37:50,TSLA,BUY,NULL
28247,2025-10-08 13:42:49,TSLA,SELL,431.32
28305,2025-10-09 14:39:44,TSLA,BUY,428.55
28313,2025-10-09 14:46:10,TSLA,BUY,426.89
28323,2025-10-09 14:54:05,TSLA,SELL,429.87
28450,2025-10-14 13:38:58,TSLA,BUY,420.13
28473,2025-10-14 14:09:54,TSLA,SELL,421.9
28507,2025-10-15 13:45:12,NVDA,BUY,181.85
28511,2025-10-15 13:47:54,NVDA,SELL,NULL
28675,2025-10-21 13:47:03,NVDA,BUY,181.14
28697,2025-10-21 14:22:06,NVDA,SELL,NULL
28701,2025-10-21 14:34:00,NVDA,BUY,180.02
28708,2025-10-21 14:50:26,NVDA,SELL,180.81
28752,2025-10-22 14:16:29,TSLA,BUY,438.76
28763,2025-10-22 14:33:17,TSLA,BUY,432.91
28766,2025-10-22 14:39:00,TSLA,SELL,435.61
28794,2025-10-23 13:37:08,TSLA,BUY,414.52
28798,2025-10-23 13:42:40,TSLA,SELL,421.24
28821,2025-10-24 13:42:47,TSLA,BUY,441.57
28825,2025-10-24 13:46:04,TSLA,SELL,444.21
28902,2025-10-28 13:56:01,TSLA,BUY,456.02
28906,2025-10-28 14:01:24,TSLA,SELL,459.21
28975,2025-10-30 13:38:53,NVDA,BUY,201.79
