message_id,date,text,media
35647,2026-05-18 15:08:16+00:00,"Vendo TSLA en zona de breakeven, demasiado riesgo como para mirarlo desde dentro. Si consigue romper media estaré atento",
35606,2026-05-18 13:57:33+00:00,"Vendo TSLA en 415,84$ asegurando en una posible resistencia como hemos comentado anteriormente",
35552,2026-05-15 14:14:50+00:00,"Vendo TSLA en 429,11$ zona de EMA45 en 1min",
35546,2026-05-15 13:56:44+00:00,"Vendo TSLA en 430,05$ justo en zona de resistencia y asegurando un +1%",
35487,2026-05-13 13:55:41+00:00,"Vendo TSLA en 434,81$ asegurando casi un 1% de profit",
35437,2026-05-12 14:44:32+00:00,Vendo TSLA en 436.06$ asgurando un +0.7% en zona de resistencia intradiaria y antes de llegar a la EMA45 en 1min,
35417,2026-05-12 14:11:29+00:00,Vendo TSLA en zona de breakeven,
35374,2026-05-11 14:51:12+00:00,Vendo TSLA en 421.34$,
35353,2026-05-11 13:47:58+00:00,"Vendo TSLA en 423,22$ justo en la zona de la EMA45 en 1min asegurando un +1% de profit",
35073,2026-04-30 14:02:54+00:00,"Vendo TSLA en 371,02$ justo en la EMA45 en 1min",
35013,2026-04-29 14:22:06+00:00,Vendo TSLA en zona de breakeven al no tener continuación para ir a buscar la media,
34895,2026-04-27 14:30:47+00:00,"Vendo TSLA en 367,25$ justo en la EMA45 en 1min",
34828,2026-04-24 14:13:22+00:00,Vendo TSLA en 376.28$ justo en la EMA45 en 1min,
34791,2026-04-23 14:41:25+00:00,"Vendo TSLA en 372,67$ justo en la EMA45 en 1min asegurando más de un +0.8%",
34715,2026-04-21 15:12:34+00:00,Vendo TSLA en 391.71$ asegurando justo en la MA200 en 1min con un +1% de profit,
34676,2026-04-20 15:27:17+00:00,Vendo TSLA en 393.03$,
34640,2026-04-20 14:04:27+00:00,"Vendo TSLA en breakeven, prefiero liberar riesgo ante esta situación y con la EMA tan cerca.",
34565,2026-04-16 14:10:53+00:00,"Vendo TSLA en 385,92$ justo en la EMA45 en 1min asegurando",
34552,2026-04-16 13:46:17+00:00,"Vendo TSLA en 387,71$ asegurando casi un +0,8% de profit",
34396,2026-04-09 14:13:43+00:00,"Vendo TSLA en 340,32$ asegurando casi un +0.7% en la EMA45 en 1min",
34347,2026-04-08 14:56:14+00:00,"Vendo TSLA en breakeven tras rechazar de forma clara la media, misma situación en Nasdaq",
34293,2026-04-07 16:03:40+00:00,"Vendo TSLA en 341,94$ asegurando",
34229,2026-04-06 14:38:58+00:00,"Vendo TSLA en breakeven, fuerte volatilidad",
34166,2026-04-02 14:12:10+00:00,"Vendo TSLA en 368,10$ saegurando en la EMA45 en 1min con un +1,1% de profit",
