timestamp,signal,%K_smooth
2025-01-02 12:01:00,BUY,6.14
2025-01-02 12:21:00,SELL,92.08
2025-01-02 14:19:00,BUY,0.0
2025-01-02 14:29:00,SELL,100.0
2025-01-07 12:09:00,BUY,4.32
2025-01-07 12:20:00,SELL,95.36
2025-01-13 11:00:00,BUY,0.0
2025-01-13 11:13:00,SELL,98.43
2025-01-16 13:12:00,BUY,3.76
2025-01-16 13:26:00,SELL,85.35
2025-01-16 15:18:00,BUY,10.68
2025-01-16 15:33:00,SELL,80.54
2025-01-23 14:03:00,BUY,2.94
2025-01-23 14:15:00,SELL,93.44
2025-01-24 14:42:00,BUY,4.49
2025-01-24 14:51:00,SELL,80.56
2025-01-27 11:00:00,BUY,18.06
2025-01-27 11:14:00,SELL,84.18
2025-01-29 14:34:00,BUY,12.59
2025-01-29 14:44:00,SELL,89.27
